X99.7,Not known
S47.5,Incision of skin of head or neck
S47.6,Incision of skin NEC
S47.8,Other specified opening of skin
S47.9,Unspecified opening of skin
S48.1,Insertion of skin expander into subcutaneous tissue of head or neck
S48.2,Insertion of skin expander into subcutaneous tissue of breast
S48.8,Other specified insertion of skin expander into subcutaneous tissue
S48.9,Unspecified insertion of skin expander into subcutaneous tissue
S49.1,Adjustment to skin expander in subcutaneous tissue
S49.2,Removal of skin expander from subcutaneous tissue of head or neck
S49.3,Removal of skin expander from subcutaneous tissue of breast
S49.4,Removal of skin expander from subcutaneous tissue NEC
S49.8,Other specified attention to skin expander in subcutaneous tissue
S49.9,Unspecified attention to skin expander in subcutaneous tissue
S50.2,Injection of organic inert substance into subcutaneous tissue
S50.3,Insertion of inert substance into subcutaneous tissue NEC
S50.4,Injection of inert substance into subcutaneous tissue NEC
S50.8,Other specified introduction of other inert substance into subcutaneous tissue
S50.9,Unspecified introduction of other inert substance into subcutaneous tissue
S51.1,Injection of sclerosing substance into subcutaneous tissue
S51.8,Other specified introduction of destructive substance into subcutaneous tissue
S51.9,Unspecified introduction of destructive substance into subcutaneous tissue
S52.1,Insertion of steroid into subcutaneous tissue
S52.3,Insertion of therapeutic substance into subcutaneous tissue NEC
S52.5,Insertion of hormone into subcutaneous tissue
S52.6,Replacement of hormone in subcutaneous tissue
S52.8,Other specified introduction of therapeutic substance into subcutaneous tissue
S52.9,Unspecified introduction of therapeutic substance into subcutaneous tissue
S53.1,Insertion of therapeutic substance into skin
S53.2,Injection of therapeutic substance into skin
S53.3,Insertion of inert substance into skin
S53.4,Injection of inert substance into skin
S53.5,Insertion of diagnostic substance into skin
S53.6,Injection of diagnostic substance into skin
S53.8,Other specified introduction of substance into skin
S53.9,Unspecified introduction of substance into skin
S54.1,Debridement of burnt skin of head or neck
S54.2,Removal of slough from burnt skin of head or neck
S54.3,Toilet to burnt skin of head or neck NEC
S54.4,Dressing of burnt skin of head or neck NEC
S54.5,Attention to dressing of burnt skin of head or neck
S54.6,Cleansing and sterilisation of burnt skin of head or neck
S54.7,Dressing of burnt skin of head or neck using vacuum assisted closure device
S54.9,Unspecified exploration of burnt skin of head or neck
S55.1,Debridement of burnt skin NEC
S55.2,Removal of slough from burnt skin NEC
S55.3,Toilet to burnt skin NEC
S55.4,Dressing of burnt skin NEC
S55.5,Attention to dressing of burnt skin NEC
S55.6,Cleansing and sterilisation of burnt skin NEC
S55.7,Dressing of burnt skin using vacuum assisted closure device NEC
S55.8,Other specified exploration of burnt skin of other site
S55.9,Unspecified exploration of burnt skin of other site
S56.1,Debridement of skin of head or neck NEC
S56.2,Removal of slough from skin of head or neck NEC
S56.3,Toilet to skin of head or neck NEC
S56.4,Dressing of skin of head or neck NEC
S56.5,Attention to dressing of skin of head or neck NEC
S56.6,Cleansing and sterilisation of skin of head or neck NEC
S56.7,Dressing of skin of head or neck using vacuum assisted closure device NEC
S56.8,Other specified exploration of other skin of head or neck
S56.9,Unspecified exploration of other skin of head or neck
S57.1,Debridement of skin NEC
S57.2,Removal of slough from skin NEC
S57.3,Toilet of skin NEC
S57.4,Dressing of skin NEC
S57.5,Attention to dressing of skin NEC
S57.6,Cleansing and sterilisation of skin NEC
S57.7,Dressing of skin using vacuum assisted closure device NEC
S57.8,Other specified exploration of other skin of other site
S57.9,Unspecified exploration of other skin of other site
S58.2,Larvae debridement therapy of skin NEC
S58.8,Other specified larvae therapy of skin
S58.9,Unspecified larvae therapy of skin
S60.1,Dermabrasion of skin of head or neck
S60.2,Dermabrasion of skin NEC
S60.3,Tattooing of skin
S60.4,Refashioning of scar NEC
S60.5,Diagnostic dermatoscopy of skin
S60.6,Electrolysis of hair
S60.7,Epilation NEC
S60.8,Other specified other operations on skin
S60.9,Unspecified other operations on skin
S62.1,Liposuction of subcutaneous tissue of head or neck
S62.2,Liposuction of subcutaneous tissue NEC
S62.3,Removal of inserted substance from subcutaneous tissue
S62.4,Removal of pack from subcutaneous tissue
S62.5,Removal of hormone implant from subcutaneous tissue
S62.6,Insertion of diagnostic substance into subcutaneous tissue
S62.8,Other specified other operations on subcutaneous tissue
S64.1,Excision of nail bed
S64.2,Chemical destruction of nail bed
S64.3,Destruction of nail bed NEC
S64.8,Other specified extirpation of nail bed
S64.9,Unspecified extirpation of nail bed
S66.1,Biopsy of lesion of nail bed
S66.2,Repair of nail bed
S66.3,Incision of nail bed
S66.8,Other specified other operations on nail bed
S66.9,Unspecified other operations on nail bed
S68.1,Total excision of nail
S68.2,Excision of wedge of nail
S68.3,Partial excision of nail NEC
S68.8,Other specified excision of nail
S68.9,Unspecified excision of nail
S70.1,Avulsion of nail
S70.2,Incision of nail
S70.3,Removal of foreign body from nail
S70.8,Other specified other operations on nail
S70.9,Unspecified other operations on nail
T01.3,Excision of lesion of chest wall
T02.1,Correction of pectus deformity of chest wall
T02.3,Insertion of prosthesis into chest wall NEC
T02.4,Removal of prosthesis from chest wall
T03.2,Reopening of chest and reexploration of intrathoracic operation site and surgical arrest of postoperative bleeding
T03.3,Reopening of chest and reexploration of intrathoracic operation site NEC
T03.9,Unspecified opening of chest
T05.2,Resuture of previous incision of chest wall
T05.8,Other specified other operations on chest wall
T07.9,Unspecified open excision of pleura
T08.8,Other specified open drainage of pleural cavity
T10.2,Endoscopic pleurodesis using talc
T10.9,Unspecified therapeutic endoscopic operations on pleura
T11.2,Diagnostic endoscopic examination of pleura and biopsy of lesion of intrathoracic organ NEC
T11.9,Unspecified diagnostic endoscopic examination of pleura
T12.1,Drainage of lesion of pleura NEC
T12.2,Drainage of pleural cavity NEC
T12.3,Aspiration of pleural cavity
T12.4,Insertion of tube drain into pleural cavity
T12.8,Other specified puncture of pleura
T13.3,Introduction of cytotoxic substance into pleural cavity
T14.1,Percutaneous biopsy of lesion of pleura
T14.8,Other specified other operations on pleura
T16.8,Other specified other repair of diaphragm
T19.1,Bilateral herniotomy
T19.2,Unilateral herniotomy
T19.3,Ligation of patent processus vaginalis
T19.9,Unspecified simple excision of inguinal hernial sac
T20.2,Primary repair of inguinal hernia using insert of prosthetic material
T20.3,Primary repair of inguinal hernia using sutures
T20.9,Unspecified primary repair of inguinal hernia
T21.1,Repair of recurrent inguinal hernia using insert of natural material
T21.2,Repair of recurrent inguinal hernia using insert of prosthetic material
T21.3,Repair of recurrent inguinal hernia using sutures
T21.9,Unspecified repair of recurrent inguinal hernia
T22.2,Primary repair of femoral hernia using insert of prosthetic material
T23.2,Repair of recurrent femoral hernia using insert of prosthetic material
T23.3,Repair of recurrent femoral hernia using sutures
T24.2,Repair of umbilical hernia using insert of prosthetic material
T24.3,Repair of umbilical hernia using sutures
T24.4,Removal of prosthetic material from previous repair of umbilical hernia
T24.9,Unspecified primary repair of umbilical hernia
T25.2,Primary repair of incisional hernia using insert of prosthetic material
T25.3,Primary repair of incisional hernia using sutures
T25.9,Unspecified primary repair of incisional hernia
T26.2,Repair of recurrent incisional hernia using insert of prosthetic material
T26.3,Repair of recurrent incisional hernia using sutures
T26.4,Removal of prosthetic material from previous repair of incisional hernia
T26.8,Other specified repair of recurrent incisional hernia
T27.3,Repair of ventral hernia using sutures
T27.9,Unspecified repair of other hernia of abdominal wall
T28.2,Suture of anterior abdominal wall
T29.3,Extirpation of lesion of umbilicus
T29.4,Biopsy of lesion of umbilicus
T29.8,Other specified operations on umbilicus
T30.3,Reopening of abdomen NEC
T30.4,Opening of abdomen and exploration of groin
T30.8,Other specified opening of abdomen
T30.9,Unspecified opening of abdomen
T31.1,Biopsy of lesion of anterior abdominal wall
T31.3,Excision of lesion of anterior abdominal wall NEC
T31.5,Drainage of anterior abdominal wall
T31.7,Exploration of groin NEC
T31.8,Other specified other operations on anterior abdominal wall
T33.1,Open excision of lesion of peritoneum
T33.9,Unspecified open extirpation of lesion of peritoneum
T34.8,Other specified open drainage of peritoneum
T34.9,Unspecified open drainage of peritoneum
T36.1,Omentectomy
T36.2,Excision of lesion of omentum
T36.4,Biopsy of lesion of omentum
T36.8,Other specified operations on omentum
T37.2,Destruction of lesion of mesentery of small intestine
T37.3,Biopsy of lesion of mesentery of small intestine
T37.4,Repair of mesentery of small intestine
T37.8,Other specified operations on mesentery of small intestine
T38.8,Other specified operations on mesentery of colon
T39.2,Destruction of lesion of posterior peritoneum
T39.3,Biopsy of lesion of posterior peritoneum
T39.8,Other specified operations on posterior peritoneum
T41.2,Division of band of peritoneum
T41.5,Freeing of extensive adhesions of peritoneum
T42.1,Endoscopic resection of lesion of peritoneum
T42.2,Endoscopic destruction of lesion of peritoneum
T42.3,Endoscopic division of adhesions of peritoneum
T43.2,Diagnostic endoscopic examination of peritoneum and biopsy of lesion of intraabdominal organ NEC
T43.8,Other specified diagnostic endoscopic examination of peritoneum
T43.9,Unspecified diagnostic endoscopic examination of peritoneum
T45.2,Image controlled percutaneous drainage of pelvic abscess
T45.3,Image controlled percutaneous drainage of abdominal abscess NEC
T45.4,Image controlled percutaneous drainage of lesion of abdominal cavity NEC
T45.8,Other specified image controlled operations on abdominal cavity
T46.1,Paracentesis abdominis for ascites
T46.2,Drainage of ascites NEC
T46.3,Irrigation of peritoneal cavity
T46.8,Other specified other drainage of peritoneal cavity
T46.9,Unspecified other drainage of peritoneal cavity
T48.4,Introduction of substance into peritoneal cavity NEC
T48.8,Other specified other operations on peritoneum
T52.1,Palmar fasciectomy
T52.5,Digital fasciectomy
T52.6,Revision of digital fasciectomy
T52.8,Other specified excision of other fascia
T52.9,Unspecified excision of other fascia
T53.2,Destruction of lesion of fascia
T54.1,Division of palmar fascia
T54.8,Other specified division of fascia
T54.9,Unspecified division of fascia
T55.2,Release fasciotomy of forearm
T55.8,Other specified release of fascia
T57.8,Other specified other operations on fascia
T59.1,Excision of ganglion of wrist
T59.2,Excision of ganglion of hand NEC
T59.3,Excision of ganglion of knee
T59.4,Excision of ganglion of foot
T59.8,Other specified excision of ganglion
T59.9,Unspecified excision of ganglion
T60.4,Reexcision of ganglion of foot
T62.1,Total excision of bursa
T62.2,Excision of bursa NEC
T62.3,Biopsy of lesion of bursa
T62.4,Aspiration of bursa
T62.5,Injection into bursa
T62.6,Exploration of bursa
T62.8,Other specified operations on bursa
T62.9,Unspecified operations on bursa
T64.2,Transfer of tendon to tendon NEC
T64.8,Other specified transposition of tendon
T65.2,Excision of lesion of tendon
T67.6,Primary simple repair of tendon
T67.8,Other specified primary repair of tendon
T67.9,Unspecified primary repair of tendon
T69.1,Primary tenolysis
T69.8,Other specified freeing of tendon
T69.9,Unspecified freeing of tendon
T70.1,Subcutaneous tenotomy
T70.2,Tenotomy NEC
T70.5,Lengthening of tendon
T72.3,Release of constriction of sheath of tendon
T72.4,Exploration of sheath of tendon
T72.8,Other specified other operations on sheath of tendon
T74.1,Biopsy of lesion of tendon NEC
T74.3,Exploration of tendon NEC
T74.4,Injection of therapeutic substance into tendon NEC
T74.5,Extracorporeal shockwave lithotripsy of calculus of tendon
T74.6,Autologous blood injection into tendon
T74.8,Other specified other operations on tendon
T74.9,Unspecified other operations on tendon
T77.3,Partial excision of muscle NEC
T77.4,Debridement of muscle NEC
T79.1,Plastic repair of rotator cuff of shoulder
T79.4,Plastic repair of multiple tears of rotator cuff of shoulder
T79.5,Revisional repair of multiple tears of rotator cuff of shoulder
T79.8,Other specified repair of muscle
T79.9,Unspecified repair of muscle
T81.1,Percutaneous biopsy of muscle
T81.9,Unspecified biopsy of muscle
T83.3,Stretching of muscle
T83.5,Catheter manometry of muscle compartment
T83.8,Other specified other operations on muscle
T85.1,Block dissection of cervical lymph nodes
T85.2,Block dissection of axillary lymph nodes
T85.8,Other specified block dissection of lymph nodes
T85.9,Unspecified block dissection of lymph nodes
T86.1,Sampling of cervical lymph nodes
